source_id,member_id,experiment_id,scenario,city,state,lat,lon,grid_lat,grid_lon_0_360,year,temp_k,temp_c,baseline_temp_c,temp_anomaly_c,baseline_period
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2015,292.06113,18.911133,19.508799,-0.5976658,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2016,292.79816,19.648163,19.508799,0.13936424,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2017,292.15976,19.009766,19.508799,-0.49903297,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2018,292.53806,19.388062,19.508799,-0.120737076,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2019,292.28812,19.138123,19.508799,-0.37067604,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2020,293.09366,19.943665,19.508799,0.43486595,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2021,293.1126,19.962616,19.508799,0.45381737,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2022,293.42883,20.27884,19.508799,0.7700405,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2023,293.3623,20.21231,19.508799,0.7035122,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2024,292.35117,19.201172,19.508799,-0.30762672,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2025,292.5411,19.391113,19.508799,-0.11768532,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2026,292.88284,19.73285,19.508799,0.22405052,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2027,293.85696,20.70697,19.508799,1.1981716,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2028,293.6186,20.468597,19.508799,0.9597988,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2029,292.80344,19.653442,19.508799,0.14464378,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2030,294.10745,20.957458,19.508799,1.4486599,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2031,293.58752,20.43753,19.508799,0.9287319,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2032,293.4479,20.297913,19.508799,0.789114,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2033,291.64792,18.497925,19.508799,-1.0108738,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2034,293.18906,20.039062,19.508799,0.5302639,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2035,292.91415,19.76416,19.508799,0.25536156,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2036,293.28934,20.139343,19.508799,0.63054466,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2037,293.58542,20.435425,19.508799,0.9266262,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2038,292.9978,19.847809,19.508799,0.33901024,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2039,294.1293,20.97931,19.508799,1.4705105,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2040,294.0047,20.854706,19.508799,1.3459072,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2041,293.65134,20.501343,19.508799,0.9925442,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2042,292.3669,19.216919,19.508799,-0.29187965,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2043,294.60397,21.45398,19.508799,1.9451809,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2044,293.79077,20.640778,19.508799,1.131979,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2045,293.3436,20.193604,19.508799,0.6848049,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2046,293.81354,20.663544,19.508799,1.1547451,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2047,293.28915,20.13916,19.508799,0.63036156,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2048,293.99844,20.84845,19.508799,1.3396511,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2049,293.79575,20.645752,19.508799,1.1369534,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2050,294.41498,21.264984,19.508799,1.7561855,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2051,294.882,21.731995,19.508799,2.223196,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2052,293.54874,20.398743,19.508799,0.8899441,1995-2014
CESM2,r4i1p1f1,ssp126,SSP1-2.6,Los Angeles,CA,34.0522,-118.2437,34.3979057591623,241.25,2053,294.06747,20.91748,19.508799,1.4086819,1995-2014
